level,topic,title,dialogue_line
easy,dailylife0,A Nice Place to Live,It has great schools.
easy,dailylife0,A Nice Place to Live,It's close to the mountains.
easy,dailylife0,A Nice Place to Live,The people are friendly.
easy,dailylife0,A Nice Place to Live,I'm not ever going to leave.
easy,dailylife0,The New Mattress,We need a new mattress.
easy,dailylife0,The New Mattress,What's the matter with this one?
easy,dailylife0,The New Mattress,It's not comfortable.
easy,dailylife0,The New Mattress,It seems fine to me.
easy,dailylife0,The New Mattress,I toss and turn all night.
easy,dailylife0,The New Mattress,You should stop drinking coffee.
easy,dailylife0,The New Mattress,Look at these marks on my arms.
easy,dailylife0,The New Mattress,What are they?
easy,dailylife0,The New Mattress,They are bites.
easy,dailylife0,The New Mattress,Did the cat bite you?
easy,dailylife0,The New Mattress,No. The bedbugs in that mattress bit me.
easy,dailylife0,The New Mattress,Okay. Let's get a new mattress.
easy,dailylife0,My Laptop Is So Slow,My laptop is so slow.
easy,dailylife0,My Laptop Is So Slow,Buy a new one.
easy,dailylife0,My Laptop Is So Slow,I would if I had the money.
easy,dailylife0,My Laptop Is So Slow,Why is it so slow?
easy,dailylife0,My Laptop Is So Slow,That's a good question.
easy,dailylife0,My Laptop Is So Slow,Did you take it to a computer shop?
easy,dailylife0,My Laptop Is So Slow,I would if I had the money.
easy,dailylife0,My Laptop Is So Slow,"Well, I guess you have to live with it."
easy,dailylife0,My Laptop Is So Slow,Sometimes I want to throw it out the window.
easy,dailylife0,My Laptop Is So Slow,You don't want to do that.
easy,dailylife0,My Laptop Is So Slow,Why not?
easy,dailylife0,My Laptop Is So Slow,You might hit someone in the head.
easy,dailylife0,How about a Pizza?,What's for dinner?
easy,dailylife0,How about a Pizza?,I'm not sure.
easy,dailylife0,How about a Pizza?,How about a pizza?
easy,dailylife0,How about a Pizza?,You had pizza for lunch.
easy,dailylife0,How about a Pizza?,But I love pizza.
easy,dailylife0,How about a Pizza?,Everybody loves pizza.
easy,dailylife0,How about a Pizza?,So why can't I have pizza for dinner?
easy,dailylife0,How about a Pizza?,Because you need variety.
easy,dailylife0,How about a Pizza?,"What's ""variety?"
easy,dailylife0,How about a Pizza?,Different thingsnot the same thing all the time.
easy,dailylife0,How about a Pizza?,"You mean, like a pepperoni pizza instead of a cheese pizza?"
easy,dailylife0,How about a Pizza?,"No, I mean a salad instead of a pizza."
easy,dailylife0,The New House,We need to save money.
easy,dailylife0,The New House,Why do we need to save money?
easy,dailylife0,The New House,Because we need to buy a house.
easy,dailylife0,The New House,But a house is so expensive.
easy,dailylife0,The New House,That's why we need to save money.
easy,dailylife0,The New House,How much do we need to save?
easy,dailylife0,The New House,We need to save enough for a down payment.
easy,dailylife0,The New House,How much is that?
easy,dailylife0,The New House,"That's about $30,000."
easy,dailylife0,The New House,Thirty thousand dollars! That will take forever.
easy,dailylife0,The New House,Not if we save every penny.
easy,dailylife0,The New House,Okay. Here's seven pennies.
easy,dailylife0,Fish Are Everywhere,The ocean is so big.
easy,dailylife0,Fish Are Everywhere,You can't see the end of it.
easy,dailylife0,Fish Are Everywhere,It goes on and on forever.
easy,dailylife0,Fish Are Everywhere,"And it's deep, too."
easy,dailylife0,Fish Are Everywhere,I think it's five miles deep.
easy,dailylife0,Fish Are Everywhere,Are there fish at the bottom?
easy,dailylife0,Fish Are Everywhere,There are fish at the top and the bottom.
easy,dailylife0,Fish Are Everywhere,Are there more fish or more people?
easy,dailylife0,Fish Are Everywhere,I think there are more fish.
easy,dailylife0,Fish Are Everywhere,I hope so. I love to eat fish.
easy,dailylife0,A Bad Boyfriend,I'm upset with my mom.
easy,dailylife0,A Bad Boyfriend,Why is that?
easy,dailylife0,A Bad Boyfriend,I warned her about her new boyfriend. She didn't listen to me.
easy,dailylife0,A Bad Boyfriend,What happened?
easy,dailylife0,A Bad Boyfriend,"I gave her $1,000 for her birthday. I told her to spend it on herself."
easy,dailylife0,A Bad Boyfriend,That was very nice of you.
easy,dailylife0,A Bad Boyfriend,I found out that she gave it to her new boyfriend.
easy,dailylife0,A Bad Boyfriend,Why did she do that?
easy,dailylife0,A Bad Boyfriend,He said he would buy her a nice ring.
easy,dailylife0,A Bad Boyfriend,What's wrong with that?
easy,dailylife0,A Bad Boyfriend,He went to Las Vegas. He lost it all gambling.
easy,dailylife0,A Bad Boyfriend,I hope your mom broke up with him.
easy,dailylife0,Talking Animals,Do animals talk to each other?
easy,dailylife0,Talking Animals,Of course they talk to each other.
easy,dailylife0,Talking Animals,What do they talk about?
easy,dailylife0,Talking Animals,They talk about other animals.
easy,dailylife0,Talking Animals,What else do they talk about?
easy,dailylife0,Talking Animals,They talk about food and the weather.
easy,dailylife0,Talking Animals,Do they talk about us?
easy,dailylife0,Talking Animals,Of course they talk about us.
easy,dailylife0,Talking Animals,What do they say about us?
easy,dailylife0,Talking Animals,They say that we are funny-looking.
easy,dailylife0,Talking Animals,Ha! We're not funny-looking; animals are funny-looking.
easy,dailylife0,Talking Animals,We're funny-looking because we wear clothes.
easy,dailylife0,House-cleaning Day,I have to clean the house.
easy,dailylife0,House-cleaning Day,"Yes, it's very dirty."
easy,dailylife0,House-cleaning Day,You can help me.
easy,dailylife0,House-cleaning Day,Why me?
easy,dailylife0,House-cleaning Day,Because you helped make it dirty.
easy,dailylife0,House-cleaning Day,What do you want me to do?
easy,dailylife0,House-cleaning Day,I want you to clean the bathroom.
easy,dailylife0,House-cleaning Day,"Oh, that's easy."
easy,dailylife0,House-cleaning Day,"Clean the sink, the tub, the counter, and the toilet."
easy,dailylife0,House-cleaning Day,That's a lot of work.
easy,dailylife0,House-cleaning Day,Tell me when you finish.
easy,dailylife0,House-cleaning Day,I don't think so. You'll just give me more work.
easy,dailylife0,A TV Lover,You're watching too much TV.
easy,dailylife0,A TV Lover,What do you mean?
easy,dailylife0,A TV Lover,I mean you're wasting your life.
easy,dailylife0,A TV Lover,I'm having fun.
easy,dailylife0,A TV Lover,You're sitting there with your mouth open.
easy,dailylife0,A TV Lover,Who cares?
easy,dailylife0,A TV Lover,I care. Do something.
easy,dailylife0,A TV Lover,Okay. I did something.
easy,dailylife0,A TV Lover,What did you do?
easy,dailylife0,A TV Lover,I turned up the volume.
easy,dailylife0,A TV Lover,"That's not what I meant by ""do something."""
easy,dailylife0,A TV Lover,Will you do something? Leave me alone.
easy,dailylife0,Write to Your Grandma,Did you write a letter to grandma?
easy,dailylife0,Write to Your Grandma,"Yes, I did."
easy,dailylife0,Write to Your Grandma,Did you tell her about school?
easy,dailylife0,Write to Your Grandma,I told her that school is fun.
easy,dailylife0,Write to Your Grandma,Did you put the letter in an envelope?
easy,dailylife0,Write to Your Grandma,"Yes, and I sealed the envelope."
easy,dailylife0,Write to Your Grandma,Did you put a stamp on the envelope?
easy,dailylife0,Write to Your Grandma,I couldn't find any stamps.
easy,dailylife0,Write to Your Grandma,They're in the kitchen drawer.
easy,dailylife0,Write to Your Grandma,Okay. I just put a stamp on the envelope.
easy,dailylife0,Write to Your Grandma,"Give me the envelope, and I'll mail it for you."
easy,dailylife0,Write to Your Grandma,When is grandma going to learn about e-mail?
easy,dailylife0,Are You Sleepy?,Why are you yawning?
easy,dailylife0,Are You Sleepy?,I'm sleepy.
easy,dailylife0,Are You Sleepy?,Why don't you go to bed?
easy,dailylife0,Are You Sleepy?,I want to watch this TV show.
easy,dailylife0,Are You Sleepy?,Maybe you should record it.
easy,dailylife0,Are You Sleepy?,The tape recorder is broken.
easy,dailylife0,Are You Sleepy?,Then you should watch the rerun.
easy,dailylife0,Are You Sleepy?,Why? I'm watching the original.
easy,dailylife0,Are You Sleepy?,But you'll be asleep in about one minute.
easy,dailylife0,Are You Sleepy?,I'm just yawning because the commercials are on.
easy,dailylife0,Are You Sleepy?,Okay. I'll tell you how the show ends.
easy,dailylife0,Are You Sleepy?,Zzz.
easy,dailylife0,God Is Watching,It's Sunday.
easy,dailylife0,God Is Watching,So?
easy,dailylife0,God Is Watching,You know what that means.
easy,dailylife0,God Is Watching,I forgot.
easy,dailylife0,God Is Watching,Sunday means we go to church.
easy,dailylife0,God Is Watching,"Oh, yeah."
easy,dailylife0,God Is Watching,Put on a coat and tie.
easy,dailylife0,God Is Watching,Why?
easy,dailylife0,God Is Watching,To show respect to God and others.
easy,dailylife0,God Is Watching,I'm glad Sunday is only once a week.
easy,dailylife0,God Is Watching,I hope God didn't hear that.
easy,dailylife0,God Is Watching,He'll forgive me.
easy,dailylife0,Feed the Cat,Did you feed the cat?
easy,dailylife0,Feed the Cat,I'll do that in a minute.
easy,dailylife0,Feed the Cat,The cat is meowing. He's hungry.
easy,dailylife0,Feed the Cat,Okay. I'll feed him right now.
easy,dailylife0,Feed the Cat,You shouldn't make him wait.
easy,dailylife0,Feed the Cat,I was doing my homework.
easy,dailylife0,Feed the Cat,The cat doesn't care about your homework.
easy,dailylife0,Feed the Cat,The cat doesn't care about anything.
easy,dailylife0,Feed the Cat,That's the way cats are.
easy,dailylife0,Feed the Cat,All they think about is themselves.
easy,dailylife0,Feed the Cat,Maybe we should get rid of him.
easy,dailylife0,Feed the Cat,Of course not! He's family.
easy,dailylife0,Shave Your Face,I hate shaving.
easy,dailylife0,Shave Your Face,Me too.
easy,dailylife0,Shave Your Face,I just cut myself again.
easy,dailylife0,Shave Your Face,Did you use a new blade?
easy,dailylife0,Shave Your Face,"It doesn't matter. Old blades cut, new blades cut."
easy,dailylife0,Shave Your Face,Maybe you should use an electric shaver.
easy,dailylife0,Shave Your Face,"They make a lot of noise, but they don't give a close shave."
easy,dailylife0,Shave Your Face,Maybe you should stop shaving.
easy,dailylife0,Shave Your Face,And grow a beard?
easy,dailylife0,Shave Your Face,Sure. Why not?
easy,dailylife0,Shave Your Face,Because food and other stuff sticks in my beard.
easy,dailylife0,Shave Your Face,Hmm. Here's an idea. Put cream on your face and have the cat lick it off.
easy,dailylife0,Two Polite People,Excuse me.
easy,dailylife0,Two Polite People,Yes?
easy,dailylife0,Two Polite People,Are you reading this paper?
easy,dailylife0,Two Polite People,"Oh, no. Help yourself."
easy,dailylife0,Two Polite People,I asked because the paper is sitting next to you.
easy,dailylife0,Two Polite People,Thank you. That's polite of you to ask.
easy,dailylife0,Two Polite People,Some people would just pick it up.
easy,dailylife0,Two Polite People,"Yes, I know. Some people are rude."
easy,dailylife0,Two Polite People,I always try to be polite.
easy,dailylife0,Two Polite People,So do I.
easy,dailylife0,Two Polite People,The world needs more polite people like us.
easy,dailylife0,Two Polite People,I agree 100 percent.
easy,dailylife0,Give Me a Puppy,"Mom, I want a puppy."
easy,dailylife0,Give Me a Puppy,Let me think about it.
easy,dailylife0,Give Me a Puppy,Why do you have to think about it?
easy,dailylife0,Give Me a Puppy,Because a puppy costs money.
easy,dailylife0,Give Me a Puppy,"No, it doesn't. Puppies are free."
easy,dailylife0,Give Me a Puppy,"Yes, but a puppy needs shots."
easy,dailylife0,Give Me a Puppy,Shots for what?
easy,dailylife0,Give Me a Puppy,So it won't get sick. Just like you get shots.
easy,dailylife0,Give Me a Puppy,I hate shots.
easy,dailylife0,Give Me a Puppy,And a puppy eats food. Food costs money.
easy,dailylife0,Give Me a Puppy,No problem. I'll give him food off my plate.
easy,dailylife0,Give Me a Puppy,"Oh, no you don't. Puppies don't eat vegetables."
easy,dailylife0,Kittens to Give Away,Look at all these kittens!
easy,dailylife0,Kittens to Give Away,How many are there?
easy,dailylife0,Kittens to Give Away,Eight.
easy,dailylife0,Kittens to Give Away,They're all so cute.
easy,dailylife0,Kittens to Give Away,"Yes, but I can't keep them."
easy,dailylife0,Kittens to Give Away,What are you going to do with them?
easy,dailylife0,Kittens to Give Away,I'm going to give them away. Do you want one?
easy,dailylife0,Kittens to Give Away,"Yes, I would love one."
easy,dailylife0,Kittens to Give Away,Which one do you want?
easy,dailylife0,Kittens to Give Away,That one. The one that's all black.
easy,dailylife0,Kittens to Give Away,"Yes, I like that one, too."
easy,dailylife0,Kittens to Give Away,I'll call him Strider
easy,dailylife0,Happy in Heaven,My parents go to church every Sunday.
easy,dailylife0,Happy in Heaven,They trust in God.
easy,dailylife0,Happy in Heaven,They hope they will go to heaven.
easy,dailylife0,Happy in Heaven,They probably will.
easy,dailylife0,Happy in Heaven,But no one knows for sure.
easy,dailylife0,Happy in Heaven,That's for sure.
easy,dailylife0,Happy in Heaven,No one knows what happens after we die.
easy,dailylife0,Happy in Heaven,"If we are good, we will be happy in heaven with God."
easy,dailylife0,Happy in Heaven,That's what many people believe.
easy,dailylife0,Happy in Heaven,"If we are bad, we will be unhappy forever in hell."
easy,dailylife0,Happy in Heaven,I don't want to go to hell.
easy,dailylife0,Happy in Heaven,Let's go to church with your parents on Sunday.
easy,dailylife0,His Line Is Never Busy,My husband died.
easy,dailylife0,His Line Is Never Busy,I'm sorry for you.
easy,dailylife0,His Line Is Never Busy,Thank you.
easy,dailylife0,His Line Is Never Busy,When did he die?
easy,dailylife0,His Line Is Never Busy,A couple of months ago.
easy,dailylife0,His Line Is Never Busy,You still miss him.
easy,dailylife0,His Line Is Never Busy,"Yes, but I talk to him almost every day."
easy,dailylife0,His Line Is Never Busy,When you go to church?
easy,dailylife0,His Line Is Never Busy,"No, when I call him on his cell phone."
easy,dailylife0,His Line Is Never Busy,What do you mean?
easy,dailylife0,His Line Is Never Busy,I buried him with his cell phone.
easy,dailylife0,His Line Is Never Busy,What will you do when the battery dies?
easy,dailylife0,Friday the 13th,Today is Friday the thirteenth.
easy,dailylife0,Friday the 13th,That's a bad day.
easy,dailylife0,Friday the 13th,It's supposed to be unlucky.
easy,dailylife0,Friday the 13th,You're supposed to stay home all day.
easy,dailylife0,Friday the 13th,That's what I do.
easy,dailylife0,Friday the 13th,My friend stayed in a hotel on Friday the thirteenth.
easy,dailylife0,Friday the 13th,That was a mistake.
easy,dailylife0,Friday the 13th,He stayed on the thirteenth floor.
easy,dailylife0,Friday the 13th,What happened?
easy,dailylife0,Friday the 13th,Someone stole his laptop.
easy,dailylife0,Friday the 13th,He was asking for it.
easy,dailylife0,Friday the 13th,He learned his lesson. He's home today.
easy,dailylife0,Do You Love Me?,Do you really love me?
easy,dailylife0,Do You Love Me?,Of course.
easy,dailylife0,Do You Love Me?,Prove it.
easy,dailylife0,Do You Love Me?,How can I prove it?
easy,dailylife0,Do You Love Me?,Take me to dinner.
easy,dailylife0,Do You Love Me?,That's it? That's all I have to do?
easy,dailylife0,Do You Love Me?,"Take me to a nice restaurant, not to McDonald's."
easy,dailylife0,Do You Love Me?,But a nice restaurant costs money.
easy,dailylife0,Do You Love Me?,"Yes, and you have to make a reservation."
easy,dailylife0,Do You Love Me?,That's such a hassle.
easy,dailylife0,Do You Love Me?,I knew you didn't love me.
easy,dailylife0,Do You Love Me?,"Okay, okay! I'll make a reservation right now."
easy,dailylife0,Dad Has a Girlfriend,My parents are divorced.
easy,dailylife0,Dad Has a Girlfriend,So are mine.
easy,dailylife0,Dad Has a Girlfriend,Why did your parents get divorced?
easy,dailylife0,Dad Has a Girlfriend,My father found a new girlfriend.
easy,dailylife0,Dad Has a Girlfriend,That's too bad.
easy,dailylife0,Dad Has a Girlfriend,My mother was hurt and angry.
easy,dailylife0,Dad Has a Girlfriend,She had good reason. What did she do?
easy,dailylife0,Dad Has a Girlfriend,She told him to drop his girlfriend.
easy,dailylife0,Dad Has a Girlfriend,What did your father do?
easy,dailylife0,Dad Has a Girlfriend,He moved out of our house.
easy,dailylife0,Dad Has a Girlfriend,I guess he really liked his new girlfriend.
easy,dailylife0,Dad Has a Girlfriend,"Yes, but she left him a year later."
easy,dailylife0,What's That Smell?,My grandma's apartment smells funny.
easy,dailylife0,What's That Smell?,So does mine.
easy,dailylife0,What's That Smell?,I think it's an old people's smell.
easy,dailylife0,What's That Smell?,Really?
easy,dailylife0,What's That Smell?,"Yes. I think when you get old, you begin to smell."
easy,dailylife0,What's That Smell?,Like fruit that is too ripe?
easy,dailylife0,What's That Smell?,"Yes, just like fruit that is too ripe."
easy,dailylife0,What's That Smell?,But the smell is different.
easy,dailylife0,What's That Smell?,"Yes, old people don't smell like fruit."
easy,dailylife0,What's That Smell?,"No, they smell like a thrift shop."
easy,dailylife0,What's That Smell?,"Yes, a thrift shop has that same smell."
easy,dailylife0,What's That Smell?,"Yes, an old smell."
easy,dailylife0,They Deliver,The price of stamps goes up and up.
easy,dailylife0,They Deliver,I think stamps used to cost a penny.
easy,dailylife0,They Deliver,That was a long time ago.
easy,dailylife0,They Deliver,It was before I was born.
easy,dailylife0,They Deliver,Now a stamp is 42 cents.
easy,dailylife0,They Deliver,But in May it will be 44 cents.
easy,dailylife0,They Deliver,Have you ever lost a letter in the mail?
easy,dailylife0,They Deliver,"No, I haven't."
easy,dailylife0,They Deliver,Neither have I.
easy,dailylife0,They Deliver,"So, they do a good job for the money."
easy,dailylife0,They Deliver,"Yes, they do."
easy,dailylife0,They Deliver,Maybe we shouldn't complain.
easy,dailylife0,A Lost Button,A button came off my shirt.
easy,dailylife0,A Lost Button,What are you going to do?
easy,dailylife0,A Lost Button,"First, I have to find the button."
easy,dailylife0,A Lost Button,Where did you lose it?
easy,dailylife0,A Lost Button,I have no idea.
easy,dailylife0,A Lost Button,A button is hard to find. Did you look in your pant cuffs?
easy,dailylife0,A Lost Button,That's a good idea.
easy,dailylife0,A Lost Button,I found a button in my pant cuffs one time.
easy,dailylife0,A Lost Button,"Let me look. No, it's not there."
easy,dailylife0,A Lost Button,Many shirts come with an extra button.
easy,dailylife0,A Lost Button,You're right. This one does have an extra button.
easy,dailylife0,A Lost Button,Now all you have to do is sew it on.
easy,dailylife0,Did You Say Something?,I have to go to the bathroom.
easy,dailylife0,Did You Say Something?,You drink too much coffee.
easy,dailylife0,Did You Say Something?,But I love coffee.
easy,dailylife0,Did You Say Something?,"Well, it's your life."
easy,dailylife0,Did You Say Something?,You eat too much chocolate.
easy,dailylife0,Did You Say Something?,I don't think so.
easy,dailylife0,Did You Say Something?,Have you looked in the mirror?
easy,dailylife0,Did You Say Something?,Do you think I'm getting fat?
easy,dailylife0,Did You Say Something?,I didn't say that.
easy,dailylife0,Did You Say Something?,What did you say?
easy,dailylife0,Did You Say Something?,I said I have to go to the bathroom.
easy,dailylife0,Did You Say Something?,That's what I thought you said.
easy,dailylife0,Washed and Folded,Did you do the laundry?
easy,dailylife0,Washed and Folded,"Yes, I did."
easy,dailylife0,Washed and Folded,What did you wash?
easy,dailylife0,Washed and Folded,I washed the sheets and towels.
easy,dailylife0,Washed and Folded,What about the pillowcases?
easy,dailylife0,Washed and Folded,"Yes, I took them off the pillows and washed them."
easy,dailylife0,Washed and Folded,Did you dry everything in the dryer?
easy,dailylife0,Washed and Folded,"Yes, I dried everything in the dryer."
easy,dailylife0,Washed and Folded,Then what did you do?
easy,dailylife0,Washed and Folded,I folded all the towels.
easy,dailylife0,Washed and Folded,Did you put the sheets on the beds?
easy,dailylife0,Washed and Folded,"Yes, and I put the pillowcases on the pillows."
easy,dailylife0,Talk Radio,Do you listen to the radio?
easy,dailylife0,Talk Radio,I listen day and night.
easy,dailylife0,Talk Radio,What do you listen to?
easy,dailylife0,Talk Radio,Mostly talk radio.
easy,dailylife0,Talk Radio,What's that?
easy,dailylife0,Talk Radio,People talk about current events.
easy,dailylife0,Talk Radio,What do they say?
easy,dailylife0,Talk Radio,They say they want change.
easy,dailylife0,Talk Radio,What kind of change?
easy,dailylife0,Talk Radio,They want tax cuts.
easy,dailylife0,Talk Radio,Why do they want tax cuts?
easy,dailylife0,Talk Radio,Because tax cuts will save them money.
easy,dailylife0,A Bad Diet,"Mom, I'm hungry."
easy,dailylife0,A Bad Diet,Look in the fridge.
easy,dailylife0,A Bad Diet,I'm looking. There's nothing to eat.
easy,dailylife0,A Bad Diet,Are you sure?
easy,dailylife0,A Bad Diet,It's almost empty.
easy,dailylife0,A Bad Diet,I went to the market yesterday.
easy,dailylife0,A Bad Diet,I don't see anything.
easy,dailylife0,A Bad Diet,I bought lots of oranges and apples.
easy,dailylife0,A Bad Diet,I don't want fruit. I want something tasty.
easy,dailylife0,A Bad Diet,Eat the fruit. It's good for you.
easy,dailylife0,A Bad Diet,"Next time you go to the market, let me go with you."
easy,dailylife0,A Bad Diet,"No, thank you. All you want to eat are hot dogs and candy bars."
easy,dailylife0,A Ham Sandwich,What is there to eat?
easy,dailylife0,A Ham Sandwich,I don't know. Look in the fridge.
easy,dailylife0,A Ham Sandwich,I think I'll make a sandwich.
easy,dailylife0,A Ham Sandwich,What kind?
easy,dailylife0,A Ham Sandwich,A ham sandwich.
easy,dailylife0,A Ham Sandwich,The bread is in the cabinet.
easy,dailylife0,A Ham Sandwich,Where's the mustard?
easy,dailylife0,A Ham Sandwich,"It's in the fridge, I think."
easy,dailylife0,A Ham Sandwich,"Oh, yes, here it is. Do you want a sandwich?"
easy,dailylife0,A Ham Sandwich,"Yes, that sounds nice."
easy,dailylife0,A Ham Sandwich,How about some potato chips?
easy,dailylife0,A Ham Sandwich,"Yes. And a pickle, if we have any."
easy,dailylife0,Time for Your Bath,"It's time for your bath, young lady."
easy,dailylife0,Time for Your Bath,"But, Mom, I'm not dirty."
easy,dailylife0,Time for Your Bath,You need a bath every day.
easy,dailylife0,Time for Your Bath,Why?
easy,dailylife0,Time for Your Bath,Because you don't want to smell bad.
easy,dailylife0,Time for Your Bath,I don't smell bad.
easy,dailylife0,Time for Your Bath,That's what you think.
easy,dailylife0,Time for Your Bath,"If I smelled bad, I could smell me."
easy,dailylife0,Time for Your Bath,I can smell you.
easy,dailylife0,Time for Your Bath,"I can smell you, too."
easy,dailylife0,Time for Your Bath,That's my perfume.
easy,dailylife0,Time for Your Bath,When can I wear perfume?
easy,dailylife0,A Black Screen,Something's wrong with my computer.
easy,dailylife0,A Black Screen,Exactly what?
easy,dailylife0,A Black Screen,All I get is a black screen.
easy,dailylife0,A Black Screen,What's the matter?
easy,dailylife0,A Black Screen,"I think I know, because this happened before."
