topic,title,dialogue_line
dailylife0,Feed the Cat,Did you feed the cat?
dailylife0,Feed the Cat,I'll do that in a minute.
dailylife0,Feed the Cat,The cat is meowing. He's hungry.
dailylife0,Feed the Cat,Okay. I'll feed him right now.
dailylife0,Feed the Cat,You shouldn't make him wait.
dailylife0,Feed the Cat,I was doing my homework.
dailylife0,Feed the Cat,The cat doesn't care about your homework.
dailylife0,Feed the Cat,The cat doesn't care about anything.
dailylife0,Feed the Cat,That's the way cats are.
dailylife0,Feed the Cat,All they think about is themselves.
dailylife0,Feed the Cat,Maybe we should get rid of him.
dailylife0,Feed the Cat,Of course not! He's family.
dailylife0,Shave Your Face,I hate shaving.
dailylife0,Shave Your Face,Me too.
dailylife0,Shave Your Face,I just cut myself again.
dailylife0,Shave Your Face,Did you use a new blade?
dailylife0,Shave Your Face,"It doesn't matter. Old blades cut, new blades cut."
dailylife0,Shave Your Face,Maybe you should use an electric shaver.
dailylife0,Shave Your Face,"They make a lot of noise, but they don't give a close shave."
dailylife0,Shave Your Face,Maybe you should stop shaving.
dailylife0,Shave Your Face,And grow a beard?
dailylife0,Shave Your Face,Sure. Why not?
dailylife0,Shave Your Face,Because food and other stuff sticks in my beard.
dailylife0,Shave Your Face,Hmm. Here's an idea. Put cream on your face and have the cat lick it off.
dailylife0,Two Polite People,Excuse me.
dailylife0,Two Polite People,Yes?
dailylife0,Two Polite People,Are you reading this paper?
dailylife0,Two Polite People,"Oh, no. Help yourself."
dailylife0,Two Polite People,I asked because the paper is sitting next to you.
dailylife0,Two Polite People,Thank you. That's polite of you to ask.
dailylife0,Two Polite People,Some people would just pick it up.
dailylife0,Two Polite People,"Yes, I know. Some people are rude."
dailylife0,Two Polite People,I always try to be polite.
dailylife0,Two Polite People,So do I.
dailylife0,Two Polite People,The world needs more polite people like us.
dailylife0,Two Polite People,I agree 100 percent.
dailylife0,Give Me a Puppy,"Mom, I want a puppy."
dailylife0,Give Me a Puppy,Let me think about it.
dailylife0,Give Me a Puppy,Why do you have to think about it?
dailylife0,Give Me a Puppy,Because a puppy costs money.
dailylife0,Give Me a Puppy,"No, it doesn't. Puppies are free."
dailylife0,Give Me a Puppy,"Yes, but a puppy needs shots."
dailylife0,Give Me a Puppy,Shots for what?
dailylife0,Give Me a Puppy,So it won't get sick. Just like you get shots.
dailylife0,Give Me a Puppy,I hate shots.
dailylife0,Give Me a Puppy,And a puppy eats food. Food costs money.
dailylife0,Give Me a Puppy,No problem. I'll give him food off my plate.
dailylife0,Give Me a Puppy,"Oh, no you don't. Puppies don't eat vegetables."
dailylife0,Kittens to Give Away,Look at all these kittens!
dailylife0,Kittens to Give Away,How many are there?
dailylife0,Kittens to Give Away,Eight.
dailylife0,Kittens to Give Away,They're all so cute.
dailylife0,Kittens to Give Away,"Yes, but I can't keep them."
dailylife0,Kittens to Give Away,What are you going to do with them?
dailylife0,Kittens to Give Away,I'm going to give them away. Do you want one?
dailylife0,Kittens to Give Away,"Yes, I would love one."
dailylife0,Kittens to Give Away,Which one do you want?
dailylife0,Kittens to Give Away,That one. The one that's all black.
dailylife0,Kittens to Give Away,"Yes, I like that one, too."
dailylife0,Kittens to Give Away,I'll call him Blacky.
dailylife0,Happy in Heaven,My parents go to church every Sunday.
dailylife0,Happy in Heaven,They trust in God.
dailylife0,Happy in Heaven,They hope they will go to heaven.
dailylife0,Happy in Heaven,They probably will.
dailylife0,Happy in Heaven,But no one knows for sure.
dailylife0,Happy in Heaven,That's for sure.
dailylife0,Happy in Heaven,No one knows what happens after we die.
dailylife0,Happy in Heaven,"If we are good, we will be happy in heaven with God."
dailylife0,Happy in Heaven,That's what many people believe.
dailylife0,Happy in Heaven,"If we are bad, we will be unhappy forever in hell."
dailylife0,Happy in Heaven,I don't want to go to hell.
dailylife0,Happy in Heaven,Let's go to church with your parents on Sunday.
dailylife0,His Line Is Never Busy,My husband died.
dailylife0,His Line Is Never Busy,I'm sorry for you.
dailylife0,His Line Is Never Busy,Thank you.
dailylife0,His Line Is Never Busy,When did he die?
dailylife0,His Line Is Never Busy,A couple of months ago.
dailylife0,His Line Is Never Busy,You still miss him.
dailylife0,His Line Is Never Busy,"Yes, but I talk to him almost every day."
dailylife0,His Line Is Never Busy,When you go to church?
dailylife0,His Line Is Never Busy,"No, when I call him on his cell phone."
dailylife0,His Line Is Never Busy,What do you mean?
dailylife0,His Line Is Never Busy,I buried him with his cell phone.
dailylife0,His Line Is Never Busy,What will you do when the battery dies?
dailylife0,Friday the 13th,Today is Friday the thirteenth.
dailylife0,Friday the 13th,That's a bad day.
dailylife0,Friday the 13th,It's supposed to be unlucky.
dailylife0,Friday the 13th,You're supposed to stay home all day.
dailylife0,Friday the 13th,That's what I do.
dailylife0,Friday the 13th,My friend stayed in a hotel on Friday the thirteenth.
dailylife0,Friday the 13th,That was a mistake.
dailylife0,Friday the 13th,He stayed on the thirteenth floor.
dailylife0,Friday the 13th,What happened?
dailylife0,Friday the 13th,Someone stole his laptop.
dailylife0,Friday the 13th,He was asking for it.
dailylife0,Friday the 13th,He learned his lesson. He's home today.
dailylife0,Do You Love Me?,Do you really love me?
dailylife0,Do You Love Me?,Of course.
dailylife0,Do You Love Me?,Prove it.
dailylife0,Do You Love Me?,How can I prove it?
dailylife0,Do You Love Me?,Take me to dinner.
dailylife0,Do You Love Me?,That's it? That's all I have to do?
dailylife0,Do You Love Me?,"Take me to a nice restaurant, not to McDonald's."
dailylife0,Do You Love Me?,But a nice restaurant costs money.
dailylife0,Do You Love Me?,"Yes, and you have to make a reservation."
dailylife0,Do You Love Me?,That's such a hassle.
dailylife0,Do You Love Me?,I knew you didn't love me.
dailylife0,Do You Love Me?,"Okay, okay! I'll make a reservation right now."
dailylife0,Dad Has a Girlfriend,My parents are divorced.
dailylife0,Dad Has a Girlfriend,So are mine.
dailylife0,Dad Has a Girlfriend,Why did your parents get divorced?
dailylife0,Dad Has a Girlfriend,My father found a new girlfriend.
dailylife0,Dad Has a Girlfriend,That's too bad.
dailylife0,Dad Has a Girlfriend,My mother was hurt and angry.
dailylife0,Dad Has a Girlfriend,She had good reason. What did she do?
dailylife0,Dad Has a Girlfriend,She told him to drop his girlfriend.
dailylife0,Dad Has a Girlfriend,What did your father do?
dailylife0,Dad Has a Girlfriend,He moved out of our house.
dailylife0,Dad Has a Girlfriend,I guess he really liked his new girlfriend.
dailylife0,Dad Has a Girlfriend,"Yes, but she left him a year later."
dailylife0,What's That Smell?,My grandma's apartment smells funny.
dailylife0,What's That Smell?,So does mine.
dailylife0,What's That Smell?,I think it's an old people's smell.
dailylife0,What's That Smell?,Really?
dailylife0,What's That Smell?,"Yes. I think when you get old, you begin to smell."
dailylife0,What's That Smell?,Like fruit that is too ripe?
dailylife0,What's That Smell?,"Yes, just like fruit that is too ripe."
dailylife0,What's That Smell?,But the smell is different.
dailylife0,What's That Smell?,"Yes, old people don't smell like fruit."
dailylife0,What's That Smell?,"No, they smell like a thrift shop."
dailylife0,What's That Smell?,"Yes, a thrift shop has that same smell."
dailylife0,What's That Smell?,"Yes, an old smell."
dailylife0,They Deliver,The price of stamps goes up and up.
dailylife0,They Deliver,I think stamps used to cost a penny.
dailylife0,They Deliver,That was a long time ago.
dailylife0,They Deliver,It was before I was born.
dailylife0,They Deliver,Now a stamp is 42 cents.
dailylife0,They Deliver,But in May it will be 44 cents.
dailylife0,They Deliver,Have you ever lost a letter in the mail?
dailylife0,They Deliver,"No, I haven't."
dailylife0,They Deliver,Neither have I.
dailylife0,They Deliver,"So, they do a good job for the money."
dailylife0,They Deliver,"Yes, they do."
dailylife0,They Deliver,Maybe we shouldn't complain.
dailylife0,A Lost Button,A button came off my shirt.
dailylife0,A Lost Button,What are you going to do?
dailylife0,A Lost Button,"First, I have to find the button."
dailylife0,A Lost Button,Where did you lose it?
dailylife0,A Lost Button,I have no idea.
dailylife0,A Lost Button,A button is hard to find. Did you look in your pant cuffs?
dailylife0,A Lost Button,That's a good idea.
dailylife0,A Lost Button,I found a button in my pant cuffs one time.
dailylife0,A Lost Button,"Let me look. No, it's not there."
dailylife0,A Lost Button,Many shirts come with an extra button.
dailylife0,A Lost Button,You're right. This one does have an extra button.
dailylife0,A Lost Button,Now all you have to do is sew it on.
dailylife0,Did You Say Something?,I have to go to the bathroom.
dailylife0,Did You Say Something?,You drink too much coffee.
dailylife0,Did You Say Something?,But I love coffee.
dailylife0,Did You Say Something?,"Well, it's your life."
dailylife0,Did You Say Something?,You eat too much chocolate.
dailylife0,Did You Say Something?,I don't think so.
dailylife0,Did You Say Something?,Have you looked in the mirror?
dailylife0,Did You Say Something?,Do you think I'm getting fat?
dailylife0,Did You Say Something?,I didn't say that.
dailylife0,Did You Say Something?,What did you say?
dailylife0,Did You Say Something?,I said I have to go to the bathroom.
dailylife0,Did You Say Something?,That's what I thought you said.
dailylife0,Washed and Folded,Did you do the laundry?
dailylife0,Washed and Folded,"Yes, I did."
dailylife0,Washed and Folded,What did you wash?
dailylife0,Washed and Folded,I washed the sheets and towels.
dailylife0,Washed and Folded,What about the pillowcases?
dailylife0,Washed and Folded,"Yes, I took them off the pillows and washed them."
dailylife0,Washed and Folded,Did you dry everything in the dryer?
dailylife0,Washed and Folded,"Yes, I dried everything in the dryer."
dailylife0,Washed and Folded,Then what did you do?
dailylife0,Washed and Folded,I folded all the towels.
dailylife0,Washed and Folded,Did you put the sheets on the beds?
dailylife0,Washed and Folded,"Yes, and I put the pillowcases on the pillows."
dailylife0,Talk Radio,Do you listen to the radio?
dailylife0,Talk Radio,I listen day and night.
dailylife0,Talk Radio,What do you listen to?
dailylife0,Talk Radio,Mostly talk radio.
dailylife0,Talk Radio,What's that?
dailylife0,Talk Radio,People talk about current events.
dailylife0,Talk Radio,What do they say?
dailylife0,Talk Radio,They say they want change.
dailylife0,Talk Radio,What kind of change?
dailylife0,Talk Radio,They want tax cuts.
dailylife0,Talk Radio,Why do they want tax cuts?
dailylife0,Talk Radio,Because tax cuts will save them money.
dailylife0,A Bad Diet,"Mom, I'm hungry."
dailylife0,A Bad Diet,Look in the fridge.
dailylife0,A Bad Diet,I'm looking. There's nothing to eat.
dailylife0,A Bad Diet,Are you sure?
dailylife0,A Bad Diet,It's almost empty.
dailylife0,A Bad Diet,I went to the market yesterday.
dailylife0,A Bad Diet,I don't see anything.
dailylife0,A Bad Diet,I bought lots of oranges and apples.
dailylife0,A Bad Diet,I don't want fruit. I want something tasty.
dailylife0,A Bad Diet,Eat the fruit. It's good for you.
dailylife0,A Bad Diet,"Next time you go to the market, let me go with you."
dailylife0,A Bad Diet,"No, thank you. All you want to eat are hot dogs and candy bars."
dailylife0,A Ham Sandwich,What is there to eat?
dailylife0,A Ham Sandwich,I don't know. Look in the fridge.
dailylife0,A Ham Sandwich,I think I'll make a sandwich.
dailylife0,A Ham Sandwich,What kind?
dailylife0,A Ham Sandwich,A ham sandwich.
dailylife0,A Ham Sandwich,The bread is in the cabinet.
dailylife0,A Ham Sandwich,Where's the mustard?
dailylife0,A Ham Sandwich,"It's in the fridge, I think."
dailylife0,A Ham Sandwich,"Oh, yes, here it is. Do you want a sandwich?"
dailylife0,A Ham Sandwich,"Yes, that sounds nice."
dailylife0,A Ham Sandwich,How about some potato chips?
dailylife0,A Ham Sandwich,"Yes. And a pickle, if we have any."
dailylife0,Time for Your Bath,"It's time for your bath, young lady."
dailylife0,Time for Your Bath,"But, Mom, I'm not dirty."
dailylife0,Time for Your Bath,You need a bath every day.
dailylife0,Time for Your Bath,Why?
dailylife0,Time for Your Bath,Because you don't want to smell bad.
dailylife0,Time for Your Bath,I don't smell bad.
dailylife0,Time for Your Bath,That's what you think.
dailylife0,Time for Your Bath,"If I smelled bad, I could smell me."
dailylife0,Time for Your Bath,I can smell you.
dailylife0,Time for Your Bath,"I can smell you, too."
dailylife0,Time for Your Bath,That's my perfume.
dailylife0,Time for Your Bath,When can I wear perfume?
dailylife0,A Black Screen,Something's wrong with my computer.
dailylife0,A Black Screen,Exactly what?
dailylife0,A Black Screen,All I get is a black screen.
dailylife0,A Black Screen,What's the matter?
dailylife0,A Black Screen,"I think I know, because this happened before."
dailylife0,A Black Screen,What happened before?
dailylife0,A Black Screen,My hard drive crashed.
dailylife0,A Black Screen,"Oh, no. That's bad news."
dailylife0,A Black Screen,"It sure is, but I'm going to call HP first, just to make sure."
dailylife0,A Black Screen,Will you lose all your files?
dailylife0,A Black Screen,"No, I always back up my files."
dailylife0,A Black Screen,You're smart.
dailylife0,A New Hard Drive,I called HP about my computer.
dailylife0,A New Hard Drive,What did they say?
dailylife0,A New Hard Drive,They said I need a new hard drive.
dailylife0,A New Hard Drive,That's too bad. How much is a new one?
dailylife0,A New Hard Drive,"It's not too much, only about $85."
dailylife0,A New Hard Drive,Plus installation?
dailylife0,A New Hard Drive,"No, my hard drive is easy to remove and replace."
dailylife0,A New Hard Drive,Really?
dailylife0,A New Hard Drive,"Yes, it's just a couple of screws."
dailylife0,A New Hard Drive,That's nice.
dailylife0,A New Hard Drive,It's a lot better than paying someone $60.
dailylife0,A New Hard Drive,"If my hard drive crashes, I'll just call you."
dailylife0,Your Email Address,What's your email address?
dailylife0,Your Email Address,It's bluedog123.
dailylife0,Your Email Address,Bluedog123. Are you sure that's all?
dailylife0,Your Email Address,Yes.
dailylife0,Your Email Address,No. That's incomplete.
dailylife0,Your Email Address,What do you mean?
dailylife0,Your Email Address,What's your mailing address?
dailylife0,Your Email Address,"456 Cherry Drive, Pasadena, CA 91170."
dailylife0,Your Email Address,That's correct.
dailylife0,Your Email Address,So what's the problem?
dailylife0,Your Email Address,"Bluedog123 is just the street. You have to give me the city, state, and ZIP code."
dailylife0,Your Email Address,"Oh, I get it. My email address is bluedog123@yahoo.com."
dailylife0,Time for a Nap,I'm going to take a nap.
dailylife0,Time for a Nap,You should unplug the phone.
dailylife0,Time for a Nap,That's a good idea.
dailylife0,Time for a Nap,Do you want me to wake you in an hour?
dailylife0,Time for a Nap,"No, thanks. Just let me sleep until I wake up."
dailylife0,Time for a Nap,I'll start dinner at 6:00.
dailylife0,Time for a Nap,Okay. I think I'll be awake by then.
dailylife0,Time for a Nap,"If not, your nose will wake you up."
dailylife0,Time for a Nap,You mean I will smell the food cooking?
dailylife0,Time for a Nap,You might even dream about dinner.
dailylife0,Time for a Nap,I don't think I'm going to dream about anything. I'm really tired.
dailylife0,Time for a Nap,Have a nice nap.
dailylife0,Thinking about His Funeral,That was a nice funeral.
dailylife0,Thinking about His Funeral,"Yes, dad, it was."
dailylife0,Thinking about His Funeral,The son gave a nice speech about his father.
dailylife0,Thinking about His Funeral,"It was long, too."
dailylife0,Thinking about His Funeral,I think it was about 45 minutes long.
dailylife0,Thinking about His Funeral,But it went by fast. It was interesting.
dailylife0,Thinking about His Funeral,I liked it.
dailylife0,Thinking about His Funeral,"I'll give you a speech like that, too."
dailylife0,Thinking about His Funeral,Do you think anyone will come to my funeral?
dailylife0,Thinking about His Funeral,Of course.
dailylife0,Thinking about His Funeral,I think only the family will be there.
